PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilySize,IsAlone,AgeGroup,FareGroup,Deck,processed_at
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,Unknown,S,Mr,2,0,Adult,Low,U,2025-11-11 17:39:35
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,Mrs,2,0,Middle,Very High,C,2025-11-11 17:39:35
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,Unknown,S,Miss,1,1,Adult,Medium,U,2025-11-11 17:39:35
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,Mrs,2,0,Adult,Very High,C,2025-11-11 17:39:35
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
6,0,3,"Moran, Mr. James",male,28.0,0,0,330877,8.4583,Unknown,Q,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,Mr,1,1,Middle,Very High,E,2025-11-11 17:39:35
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,Unknown,S,Master,5,0,Child,High,U,2025-11-11 17:39:35
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,Unknown,S,Mrs,3,0,Adult,Medium,U,2025-11-11 17:39:35
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,Unknown,C,Mrs,2,0,Teen,High,U,2025-11-11 17:39:35
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,Miss,3,0,Child,High,G,2025-11-11 17:39:35
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,Miss,1,1,Middle,High,C,2025-11-11 17:39:35
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,Unknown,S,Mr,1,1,Adult,Medium,U,2025-11-11 17:39:35
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,Unknown,S,Mr,7,0,Middle,Very High,U,2025-11-11 17:39:35
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542000000000005,Unknown,S,Miss,1,1,Teen,Low,U,2025-11-11 17:39:35
